DaysPassed,TotalPopulation,TotalBabies,DeathsAge,DeathsPredator,DeathsStarved,TotalDeaths,FoodTime,BridgesTime,HousesTime,ProcreationTime,AverageFoodTime,AverageBridgesTime,AverageHouseTime,AverageProcreationTime
1,150,0,0,0,0,0,25.04758,26.26185,65.04757,55.76199,30.60443,16.85747,50.78022,1.757878
2,187,37,2,9,0,11,25.04758,26.26185,65.04757,55.76199,30.60443,16.85747,50.78022,1.757878
3,218,68,8,13,1,22,25.04758,26.26185,65.04757,55.76199,30.60443,16.85747,50.78022,1.757878
4,233,83,10,15,1,26,25.04758,26.26185,65.04757,55.76199,30.60443,16.85747,50.78022,1.757878
5,240,90,13,23,1,37,25.04758,26.26185,65.04757,55.76199,30.60443,16.85747,50.78022,1.757878
5,BeforeFlood,-,-,-,-,-,-,-,-,-,-,-,-,-
5,240,90,13,23,1,37,25.04758,26.26185,65.04757,55.76199,30.60443,16.85747,50.78022,1.757878
5,BeforeFlood,-,-,-,-,-,-,-,-,-,-,-,-,-
5,AfterFlood,-,-,-,-,-,-,-,-,-,-,-,-,-
5,240,90,14,23,1,38,25.04758,26.26185,65.04757,55.76199,30.60443,16.85747,50.78022,1.757878
5,AfterFlood,-,-,-,-,-,-,-,-,-,-,-,-,-
6,243,93,18,23,1,42,25.04758,26.26185,65.04757,55.76199,30.60443,16.85747,50.78022,1.757878
